,word,count
0,&nbsp;,14406
1,के,11171
2,में,8810
3,से,8279
4,और,7844
5,की,7236
6,को,6347
7,ने,5941
8,एक,5158
9,का,4162
10,पर,4055
11,कर,3608
12,नहीं,3539
13,भी,3425
14,तो,3314
15,वह,3231
16,है,3180
17,है।,2929
18,कि,2719
19,ही,2516
20,हो,2239
21,मैं,1913
22,यह,1908
23,बहुत,1894
24,हैं।,1869
25,अपने,1747
26,था।,1700
27,क्या,1655
28,लिए,1626
29,उसे,1581
30,कुछ,1537
31,हुए,1418
32,0,1405
33,हैं,1373
34,रहा,1275
35,साथ,1224
36,रही,1217
37,था,1190
38,अपनी,1180
39,फिर,1146
40,2,1141
41,उसके,1106
42,मुझे,1072
43,थे।,1070
44,इस,1064
45,उसने,1056
46,उस,1055
47,घर,1052
48,रहे,1039
49,{,1021
50,},1020
51,जो,1020
52,तुम,991
53,जब,974
54,अब,968
55,वे,958
56,थी।,954
57,पास,950
58,पानी,917
59,तक,850
60,हम,846
61,"है,",845
62,तरह,828
63,कोई,808
64,सब,803
65,माँ,800
66,।,794
67,बात,794
68,लेकिन,792
69,आ,791
70,न,790
71,गया,778
72,करने,771
73,उन्हें,765
74,दिन,737
75,3,724
76,उसकी,703
77,मेरे,680
78,जा,674
79,करते,670
80,आप,670
81,वो,667
82,वाले,637
83,5,628
84,या,625
85,ये,619
86,उन्होंने,615
87,थी,609
88,सभी,607
89,पेड़,603
90,किसी,602
91,जैसे,597
92,font-size:,597
93,font-family:,597
94,काम,580
95,4,579
96,होता,577
97,जाता,572
98,ओर,572
99,ले,558
100,बाहर,556
101,गया।,551
102,उनके,544
103,नीचे,542
104,देख,539
105,मेरी,539
106,थे,539
107,पहले,535
108,बाद,535
109,सकते,529
110,वहाँ,520
111,कहा,511
112,"हैं,",506
113,हुआ,505
114,"कहा,",502
115,-,494
116,अपना,493
117,जी,492
118,कहा।,490
119,0;},487
120,@font-face,487
121,mso-font-pitch:variable;,487
122,कभी,484
123,समय,473
124,स्कूल,473
125,बच्चे,457
126,लगा,457
127,!,452
128,ऊपर,452
129,तब,449
130,जाती,449
131,नाम,445
132,किया,445
133,हुई,444
134,वाली,444
135,होते,440
136,रंग,436
137,होती,432
138,लोग,430
139,दो,430
140,दोनों,429
141,देखा,428
142,हर,426
143,सकता,426
144,सबसे,424
145,हाथ,422
146,बार,417
147,जाते,411
148,सी,407
149,आज,401
150,so-language:,398
151,यहाँ,395
152,लगता,394
153,मैंने,394
154,कैसे,386
155,जाने,384
156,mso-font-charset:0;,383
157,करती,382
158,क्यों,382
159,आवाज़,380
160,पता,379
161,उनकी,379
162,",",379
163,panose-1:2,372
